name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
,,,,,,,,,,,
Sweet Harmony,The Beloved,5lSOVaPDk7x9Ey6c9DqGZx,0.573,0.837,0.458678791,0.0337,0.0144,101.59,0.0544,0.796,1
,,,,,,,,,,,
Spice Up Your Life,Spice Girls,5qGwqO0lkbBXw4xNfzT7SF,0.556,0.993,0.751537844,0.0464,0.0105,124.016,0.403,0.702,1
,,,,,,,,,,,
What I Like About You (feat. Theresa Rex),Jonas Blue,4NSW0Km5ZG60L8FthUebPJ,0.46,0.8,0.883747883,0.05,0.289,102.46,0.121,0.553,1
,,,,,,,,,,,
This Kiss,Faith Hill,0TxXEbxn52XsuAhxb6VFZw,0.48,0.832,0.698404208,0.0426,0.137,186.875,0.354,0.648,1
,,,,,,,,,,,
Afterlife,Hailee Steinfeld,6PFyGdWw0qnstR8KJAWrrr,0.673,0.61,0.788572629,0.0356,0.00662,122.063,0.0572,0.343,1
,,,,,,,,,,,
Wouldn’t Change A Thing,ILLENIUM,1nxolqTzRn39brCPRk5f8v,0.487,0.852,0.865035185,0.0596,0.054,157.934,0.111,0.191,1
,,,,,,,,,,,
High Five,Sigrid,5vqHLzf7taArjOT4yzlSJG,0.651,0.628,0.675034135,0.0959,0.173,150.014,0.0591,0.513,1
,,,,,,,,,,,
Blinding Lights,The Weeknd,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,0.857367924,0.0629,0.00147,171.017,0.0938,0.345,1
,,,,,,,,,,,
Just a Cloud Away,Pharrell Williams,4UPQiDmYScn2C6S2C2WATY,0.888,0.459,0.428946539,0.0357,0.426,112.56,0.11,0.704,1
,,,,,,,,,,,
Always Be My Baby,Mariah Carey,2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,0.409935931,0.0364,0.457,78.946,0.249,0.487,1
,,,,,,,,,,,
Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,0.800021006,0.034,0.137,140.069,0.28,0.774,1
,,,,,,,,,,,
Ay Ay Ay!,Waazzoo and the Vibes,34nz8DXWgisAFA1CxJAWF5,0.798,0.535,0.447957147,0.0638,0.199,129.962,0.11,0.805,1
,,,,,,,,,,,
Summer Fade (feat. Anna of the North),Snakehips,3UIGE2FXaUUcYWA31Og0XO,0.618,0.657,0.74172881,0.0594,0.00378,179.913,0.223,0.457,1
,,,,,,,,,,,
Keep Your Head Up,Andy Grammer,3k2BPNEReUDyhWt5zGOxlh,0.671,0.773,0.736582292,0.0373,0.0455,90.012,0.0876,0.758,1
,,,,,,,,,,,
Be Kind (with Halsey),Marshmello,3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,0.540909568,0.0457,0.00776,93.995,0.0541,0.452,1
,,,,,,,,,,,
Come On Eileen,Dexys Midnight Runners,5uzNa0SBGOe5pPnstWHMCt,0.466,0.615,0.329377166,0.0492,0.413,108.016,0.343,0.812,1
,,,,,,,,,,,
Sad Song (feat. TINI),Alesso,2JoIjuzRplpYGvvLpSW2on,0.734,0.693,0.605398593,0.0361,0.0878,110.021,0.341,0.55,1
,,,,,,,,,,,
Smile,Winston Surfshirt,3OZ812Wywu349zAw9zaYKh,0.765,0.64,0.488604138,0.11,0.379,100.003,0.116,0.433,1
,,,,,,,,,,,
Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,Lennon Stella,49dFIRQCQxPWgoH0m38XQ5,0.696,0.686,0.643314778,0.0309,0.262,115.982,0.174,0.7,1
,,,,,,,,,,,
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,3M5eeHXgG4VplKNcsBC8Dj,0.67,0.619,0.196723033,0.0323,0.0514,108.826,0.0492,0.807,1
,,,,,,,,,,,
First Time,Daya,4L4lClgi5m2Itz6Fgt750F,0.552,0.628,0.560970486,0.292,0.701,101.928,0.399,0.672,1
,,,,,,,,,,,
I Found You,Andy Grammer,1b1Wb55rTakaXDtWzn9QwX,0.728,0.701,0.594265308,0.0406,0.0945,137.97,0.181,0.413,1
,,,,,,,,,,,
Low Blow,CXLOE,5AMEyWxj1I1pK1exqOAIid,0.631,0.818,0.838672408,0.194,0.0914,164.924,0.0692,0.761,1
,,,,,,,,,,,
1999,Charli XCX,05mAIVLkIWc2d1UBYZBCp8,0.739,0.742,0.803697091,0.0329,0.0227,124.016,0.229,0.659,1
,,,,,,,,,,,
No Regrets,Nea,0UzGVWTmURL3F3Y1wgzFtJ,0.777,0.793,0.537443546,0.0617,0.374,109.959,0.153,0.413,1
,,,,,,,,,,,
Good Thing (with Kehlani),Zedd,5aUSEPNd3m5xliFK4pn5mU,0.693,0.564,0.880264678,0.0378,0.399,185.913,0.0409,0.574,1
,,,,,,,,,,,
We Found Love (feat. Rihanna),Calvin Harris,0385HqYimoTQaHZP17KwG1,0.738,0.776,0.780380212,0.0392,0.0234,127.984,0.0775,0.608,1
,,,,,,,,,,,
Youngblood,5 Seconds of Summer,2iUXsYOEPhVqEBwsqP70rE,0.596,0.854,0.748240731,0.463,0.0169,120.274,0.124,0.152,1
,,,,,,,,,,,
Backwards,Alexander Stewart,39SRIyJKTLgG8G4fvdH5YL,0.571,0.656,0.95410146,0.14,0.0128,79.868,0.262,0.699,1
,,,,,,,,,,,
Sunday Morning,Mitch James,1Asq6gE9O44i5krkhqa7Ls,0.688,0.641,0.681020901,0.0598,0.0214,104.253,0.294,0.861,1
,,,,,,,,,,,
Get in the Way,Glades,2NhIctyVENmfuNyxf8L0ng,0.658,0.894,0.922487134,0.0369,0.0712,129.019,0.0822,0.665,1
,,,,,,,,,,,
Break My Heart,Dua Lipa,1raaNykBg1bDnWENUiglUA,0.73,0.729,0.924692784,0.0886,0.167,113.012,0.349,0.467,1
,,,,,,,,,,,
Make You Mine,Tyron Hapi,5XpczN2u2SK2FwtrkCLeIu,0.718,0.553,0.497741834,0.0274,0.376,107.062,0.163,0.519,1
,,,,,,,,,,,
ABC,The Jackson 5,0QAltc5gfXw139QRbnALNY,0.719,0.784,0.482617372,0.0435,0.357,94.701,0.106,0.96,1
,,,,,,,,,,,
I'm Still Standing,Elton John,1jDJFeK9x3OZboIAHsY9k2,0.504,0.904,0.56454154,0.179,0.356,176.808,0.14,0.772,1
,,,,,,,,,,,
Happy Now,Kygo,14sOS5L36385FJ3OL8hew4,0.693,0.575,0.550362357,0.0801,0.374,117.999,0.252,0.492,1
,,,,,,,,,,,
Riptide,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,0.582291776,0.0379,0.431,101.654,0.151,0.51,1
,,,,,,,,,,,
Only You (with Little Mix),Cheat Codes,54l9GJGQ1UCFKe2tzt1Vxt,0.607,0.74,0.781955677,0.172,0.0829,108.05,0.105,0.219,1
,,,,,,,,,,,
i think too much,Christian French,6wFqLYmiXyGvprbWa4ogm8,0.675,0.695,0.45993068,0.0753,0.00383,92.025,0.0637,0.662,1
,,,,,,,,,,,
Easy,Camila Cabello,46D0hYb1B7qiU33VtXt21W,0.574,0.593,0.683436614,0.0463,0.411,128.073,0.0966,0.355,1
,,,,,,,,,,,
I Don't Care (with Justin Bieber),Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,0.755907993,0.0442,0.0912,101.956,0.0894,0.842,1
,,,,,,,,,,,
All Star,Smash Mouth,3cfOd4CMv2snFaKAnMdnvK,0.731,0.867,0.667681966,0.032,0.0395,104.019,0.0861,0.776,1
,,,,,,,,,,,
Orphans,Coldplay,6muOWhMh7Tf0UFUtMDBhUR,0.503,0.808,0.754857683,0.0451,0.0258,107.973,0.557,0.282,1
,,,,,,,,,,,
Ur So Beautiful,Grace VanderWaal,3Ko3WvKcr01gHE9oYx9iAE,0.661,0.644,0.59226972,0.0316,0.334,94.031,0.095,0.34,1
,,,,,,,,,,,
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,0.636172671,0.119,0.321,90.03,0.42,0.464,1
,,,,,,,,,,,
Slow Clap,Gwen Stefani,2FD3oVMksB9tPIaowrx0zJ,0.724,0.607,0.70013654,0.157,0.0167,92.973,0.101,0.656,1
,,,,,,,,,,,
You Make My Dreams (Come True),Daryl Hall & John Oates,4o6BgsqLIBViaGVbx5rbRk,0.751,0.501,0.009137696,0.0551,0.234,167.057,0.0467,0.902,1
,,,,,,,,,,,
Solar Power,Lorde,3KdoeNlEN0BoAKWzaRLNZa,0.735,0.47,0.297552778,0.1,0.266,87.971,0.32,0.897,1
,,,,,,,,,,,
Kiss,Prince,62LJFaYihsdVrrkgUOJC05,0.898,0.271,0,0.091,0.0135,111.485,0.0461,0.742,1
,,,,,,,,,,,
Never Really Over,Katy Perry,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,0.782060708,0.0602,0.194,99.991,0.316,0.385,1
,,,,,,,,,,,
Acid Dreams,MAX,3XEdqQtGHAM5huMrs3RaKN,0.817,0.509,0.84738998,0.0839,0.146,99.988,0.111,0.77,1
,,,,,,,,,,,
Anyone For You (Tiger Lily),George Ezra,5iFQfP3AqVnHHS89LKQisL,0.662,0.807,0.940342401,0.0411,0.293,103.031,0.189,0.772,1
,,,,,,,,,,,
Believe,Cher,2goLsvvODILDzeeiT4dAoR,0.652,0.917,0.57956097,0.0548,0.0082,132.975,0.0509,0.459,1
,,,,,,,,,,,
Maniac,Conan Gray,7hpJ9tATWb2vztlq99hERP,0.623,0.647,0.714210692,0.04,0.00122,107.987,0.354,0.522,1
,,,,,,,,,,,
Catch My Disease,Ben Lee,4vqHz44pzFSfDNIE20QRBu,0.756,0.73,0.729545216,0.032,0.0224,115.977,0.139,0.917,1
,,,,,,,,,,,
Only Wanna Be with You,Hootie & The Blowfish,1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,0.669782586,0.0355,0.107,103.272,0.118,0.513,1
,,,,,,,,,,,
Adore You,Harry Styles,1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,0.899380317,0.0483,0.0237,99.048,0.102,0.569,1
,,,,,,,,,,,
I.F.L.Y.,Bazzi,4R9ATNRRl1uth17i5qDCc0,0.812,0.519,0.778804747,0.0385,0.379,104.954,0.13,0.554,1
,,,,,,,,,,,
Learn To Fly,Surfaces,518miTxc3a15X7HB8FgJUW,0.569,0.536,0.640794034,0.0819,0.554,173.695,0.0655,0.656,1
,,,,,,,,,,,
I Dare You,Kelly Clarkson,0o58NWBiVXewJNfNDKQyjw,0.655,0.719,0.508139901,0.0368,0.0452,124.034,0.109,0.435,1
,,,,,,,,,,,
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,5AEtlRudpgdT5FtNiuly6Y,0.659,0.717,0.844028989,0.0581,0.0393,103.036,0.0769,0.71,1
,,,,,,,,,,,
Never Enough,SIX60,0irgkspMpvzCCg9LSevt9i,0.76,0.65,0.668627245,0.0323,0.121,142.024,0.153,0.8,1
,,,,,,,,,,,
Who's Laughing Now,Ava Max,73h4oe03sZy8bXfQLfnqMv,0.648,0.641,0.70549312,0.0389,0.00565,184.021,0.109,0.505,1
,,,,,,,,,,,
We Are Never Ever Getting Back Together,Taylor Swift,6kISMRfweKSvgHR0urMQFG,0.628,0.676,0.664531037,0.0916,0.00957,85.984,0.121,0.75,1
,,,,,,,,,,,
I Wish (feat. Mabel),Joel Corry,0YORgvqP1MotwCnDZzOwII,0.686,0.856,1,0.0426,0.0896,123.997,0.0648,0.733,1
,,,,,,,,,,,
Holiday,Little Mix,44gz3bzhdcGUFgA5oc1wSu,0.712,0.676,0.658859364,0.184,0.076,106.156,0.0669,0.648,1
,,,,,,,,,,,
lessons,mxmtoon,4KDCCnAjZZKFeth7wmKcma,0.558,0.716,0.660434828,0.0733,0.246,168.029,0.116,0.36,1
,,,,,,,,,,,
Teenage Dream,Katy Perry,235LXPXfi0SmOaS9TaCh3c,0.719,0.798,0.804117215,0.0361,0.0162,120.011,0.134,0.591,1
,,,,,,,,,,,
London Girls,BRKLYN,6ENuXVdzYMKKTvaAGKNBLx,0.751,0.789,0.694990022,0.0646,0.00603,122.984,0.478,0.518,1
,,,,,,,,,,,
Los Angeles,Thomston,7gDXne51D4DEBHQSHHedYq,0.558,0.685,0.467808003,0.0455,0.0771,130.072,0.371,0.616,1
,,,,,,,,,,,
Over U,Chris Watts,2xt62qMFPid3GBM5QGSQQH,0.829,0.587,0.663690789,0.152,0.0525,130.028,0.151,0.556,1
,,,,,,,,,,,
Never Seen the Rain,Tones And I,2grAr8pWMuLWn8ZYEE9wDV,0.491,0.461,0.692364247,0.0424,0.44,87.808,0.232,0.32,1
,,,,,,,,,,,
Don't Stop Movin',S Club 7,2mc3KhEpFAh8saVFVNb1hC,0.828,0.676,0.641319189,0.032,0.0358,117.041,0.0513,0.901,1
,,,,,,,,,,,
Some Nights,fun.,6t6oULCRS6hnI7rm0h5gwl,0.672,0.738,0.545425901,0.0506,0.0178,107.938,0.0927,0.392,1
,,,,,,,,,,,
Higher Love - Single Version,Steve Winwood,17Ng10tIgnYmAitl0SgT3R,0.696,0.89,0.569162903,0.0441,0.055,98.742,0.5,0.922,1
,,,,,,,,,,,
She Looks So Perfect,5 Seconds of Summer,5cPO2j2p9Myq77YQVwWyrN,0.494,0.951,0.840352904,0.132,0.000569,160.025,0.327,0.441,1
,,,,,,,,,,,
Unbelievable,Why Don't We,3anNizayrIeuVv3Mb2KnIR,0.532,0.66,0.535658019,0.0825,0.105,130.013,0.0996,0.676,1
,,,,,,,,,,,
Doing To Me,Astrid S,1ioqD1XvFGDomjXkKNCBQB,0.718,0.762,0.759584077,0.0571,0.284,132.893,0.0971,0.368,1
,,,,,,,,,,,
Kintsugi,Gabrielle Aplin,2kWcW9mqoCQH9HK9o2K6rc,0.593,0.683,0.511500893,0.242,0.275,74.07,0.0655,0.612,1
,,,,,,,,,,,
Lovers + Strangers,Starley,7FCZhkhzEUVNUAlGauNKIe,0.653,0.69,0.75989917,0.0756,0.109,110.214,0.136,0.652,1
,,,,,,,,,,,
Until I Die,Mike Perry,1t492ZhMkze1qxpJsB1s7J,0.635,0.837,0.871232013,0.108,0.25,99.942,0.0813,0.668,1
,,,,,,,,,,,
Futon Couch,Missy Higgins,2PZqXcvQUhKxSvXgimwGrl,0.711,0.525,0.599516857,0.0589,0.207,93.923,0.314,0.517,1
,,,,,,,,,,,
Sucker,Jonas Brothers,4y3OI86AEP6PQoDE6olYhO,0.842,0.734,0.753387249,0.0588,0.0427,137.958,0.106,0.952,1
,,,,,,,,,,,
Kiss Somebody,Morgan Evans,4f3fb3alVLFc8Ga4ncpg7x,0.57,0.684,0.544480622,0.0465,0.136,89.012,0.205,0.531,1
,,,,,,,,,,,
Money Trees,Kendrick Lamar,0UtnpKaReKUg2GquaSxCyD,0.716,0.531,0.503116012,0.122,0.0703,71.994,0.224,0.344,2
,,,,,,,,,,,
Hip Hop Hooray,Naughty By Nature,1w29UTa5uUvIri2tWtZ12Y,0.862,0.642,0,0.101,0.102,99.201,0.272,0.765,2
,,,,,,,,,,,
The Spins,Mac Miller,51pshtuYkgUQnt5huMPbKL,0.794,0.766,0.779642058,0.0377,0.0135,127.007,0.0785,0.55,2
,,,,,,,,,,,
Magic - Edit,Polo & Pan,6Sy5ie6qrZxdrdfSArtOTH,0.595,0.717,0.493048897,0.112,0.111,113.048,0.102,0.284,2
,,,,,,,,,,,
Stargazing,The Neighbourhood,0VF7YLIxSQKyNiFL3X6MmN,0.512,0.483,0.467721317,0.0298,0.00304,160.009,0.12,0.367,2
,,,,,,,,,,,
this is what falling in love feels like,JVKE,4UG2Fm0E98LhE2dlNxiAXx,0.424,0.438,0.64892937,0.0553,0.617,128.983,0.0837,0.325,2
,,,,,,,,,,,
Just a Cloud Away,Pharrell Williams,4UPQiDmYScn2C6S2C2WATY,0.888,0.459,0.439277725,0.0357,0.426,112.56,0.11,0.704,2
,,,,,,,,,,,
Perfect,KYLE,77cj905zkxzZ0BOUaMd9SM,0.786,0.653,0.41970278,0.271,0.054,124,0.129,0.562,2
,,,,,,,,,,,
Crush,Duckwrth,3aUviSdBVbsdmH406j5GZC,0.873,0.479,0.556807287,0.222,0.656,108.014,0.19,0.945,2
,,,,,,,,,,,
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,0.563918185,0.0897,0.223,151.891,0.104,0.877,2
,,,,,,,,,,,
Charmander,Aminé,4NP3gHruXgIo4YSJSNDRBz,0.708,0.552,0.523410035,0.0714,0.542,87.195,0.175,0.596,2
,,,,,,,,,,,
I Can't Help But Feel,Surfaces,40gooTta3y4FgzXaMOGDJL,0.722,0.706,0.727069351,0.0314,0.328,114.983,0.108,0.715,2
,,,,,,,,,,,
Fireflies,Owl City,3DamFFqW32WihKkTVlwTYQ,0.512,0.662,0.547698945,0.0439,0.0275,180.114,0.118,0.472,2
,,,,,,,,,,,
Fire for You,Cannons,4o0LyB69tylqDG6eTGhmig,0.737,0.678,0.530600831,0.0962,0.114,102.051,0.123,0.698,2
,,,,,,,,,,,
Riptide,Vance Joy,3R1Xa7LkesYpNI3v6fslKi,0.502,0.719,0.55952381,0.0349,0.46,101.609,0.114,0.438,2
,,,,,,,,,,,
Cutie,COIN,4nLTOnpSCBwRlul92HLIyW,0.682,0.609,0.581655481,0.139,0.000928,111.991,0.142,0.723,2
,,,,,,,,,,,
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,6IbCvfmmICEEAyDwQ9zcbt,0.703,0.624,0.593160754,0.0364,0.0156,131.966,0.299,0.808,2
,,,,,,,,,,,
Tainted Love,Isaac Dunbar,2nx6I5R9C8nfBofUdlXoRA,0.628,0.695,0.665068712,0.0327,0.0378,113.972,0.358,0.398,2
,,,,,,,,,,,
Let Me Know,Surfaces,4V33aS5qju2ujbQt8JKi6P,0.834,0.725,0.575023969,0.0366,0.0259,129.927,0.122,0.844,2
,,,,,,,,,,,
Up Up & Away,Kid Cudi,1RUTIdTnFs8lHSc0Zr4UJB,0.66,0.881,0.601869607,0.0849,0.0722,120.017,0.362,0.586,2
,,,,,,,,,,,
Futon,Ūla,0F57gwy0G6aqnaMAH1ELSV,0.852,0.61,0.62288271,0.049,0.734,117.99,0.111,0.713,2
,,,,,,,,,,,
iSpy (feat. Lil Yachty),KYLE,6xbraxG0bSBOuAr5IUXmtM,0.723,0.654,0.545861298,0.298,0.384,149.949,0.384,0.675,2
,,,,,,,,,,,
sunburn,almost monday,4gBkCqlITvat2A3aYPtMqS,0.691,0.742,0.727708533,0.0321,0.00372,111.98,0.495,0.788,2
,,,,,,,,,,,
Two Moons,BoyWithUke,5GxUKIEkMXXZo1Tif0IzfC,0.841,0.502,0.366251198,0.211,0.52,109.965,0.103,0.863,2
,,,,,,,,,,,
summer&cigarettes,sammy rash,5PmtPTXrLqgqQfqngsUqZp,0.834,0.402,0.269654842,0.072,0.76,122.008,0.279,0.684,2
,,,,,,,,,,,
HELLO,Josh Fudge,6fvNZQoTK4eOfNg8MGzoiY,0.695,0.857,0.772451262,0.044,0.0117,141.025,0.208,0.86,2
,,,,,,,,,,,
Elastic,Joey Purp,4MAADpR6MjelkaZqe3Mgnv,0.966,0.435,0.695749441,0.0674,0.0604,111.16,0.0511,0.561,2
,,,,,,,,,,,
Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,0.762,0.701,0.807845957,0.0286,0.235,110.968,0.123,0.742,2
,,,,,,,,,,,
Come Down,Anderson .Paak,276zciJ7Fg7Jk6Ta6QuLkp,0.841,0.898,0.520693512,0.104,0.271,98.401,0.304,0.931,2
,,,,,,,,,,,
Good Advice,Peach Tree Rascals,2mAjXnUG4QJAypppi5J2lA,0.781,0.647,0.711888782,0.0412,0.145,105.038,0.0635,0.912,2
,,,,,,,,,,,
Sit Next to Me,Foster The People,4BdGO1CaObRD4La9l5Zanz,0.638,0.738,0.693192713,0.0292,0.117,97.021,0.689,0.657,2
,,,,,,,,,,,
Sunroof,Nicky Youre,3RfTeIrWS8LNrfHYwechtt,0.768,0.716,0.682486417,0.0404,0.35,131.43,0.15,0.841,2
,,,,,,,,,,,
Can't Do Without (My Baby),Cosmo's Midnight,4hG6H7xPvEleJD9QUEqaAS,0.654,0.94,0.609459891,0.0633,0.163,118.001,0.324,0.787,2
,,,,,,,,,,,
Grateful,Kota the Friend,2wmZFiWL7MKt2vQe6DPanz,0.78,0.593,0.433525088,0.37,0.397,159.995,0.0712,0.792,2
,,,,,,,,,,,
Alright,Supergrass,5xC8uOesnn0udeXAYlAnoY,0.467,0.958,0.706615532,0.0775,0.000479,145.92,0.299,0.701,2
,,,,,,,,,,,
Hell N Back,Bakar,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,0.746085011,0.567,0.312,210.164,0.112,0.72,2
,,,,,,,,,,,
Oysters in My Pocket,Royel Otis,5nkeTRV4E4ZAlc4s1aRgYK,0.597,0.924,0.693352509,0.0624,0.0205,168.023,0.17,0.611,2
,,,,,,,,,,,
I Want U,No Rome,52ewMn6BRCU9hAPysg8TLm,0.509,0.894,1,0.083,0.1,91.881,0.258,0.319,2
,,,,,,,,,,,
Naive,The Kooks,7BHPGtpuuWWsvE7cCaMuEU,0.391,0.808,0.594678811,0.0892,0.0759,100.304,0.149,0.737,2
,,,,,,,,,,,
Weatherman,Eddie Benjamin,5CmIIBRVQWLX2uXAkuBlS8,0.772,0.437,0.541307127,0.0298,0.183,96.971,0.243,0.814,2
,,,,,,,,,,,
Broken,Alfie Templeman,1jA53SLb7NDWeWZU74Uvoo,0.56,0.883,0.749360818,0.0762,0.00904,102.011,0.904,0.751,2
,,,,,,,,,,,
Some,Steve Lacy,4riDfclV7kPDT9D58FpmHd,0.784,0.554,0.578060083,0.03,0.00548,104.01,0.0995,0.634,2
,,,,,,,,,,,
BEST INTEREST,"Tyler, The Creator",3jHdKaLCkuNEkWcLVmQPCX,0.596,0.575,0.425615213,0.0514,0.0861,98.265,0.334,0.34,2
,,,,,,,,,,,
Collard Greens,ScHoolboy Q,0zO8ctW0UiuOefR87OeJOZ,0.825,0.575,0.701661873,0.0633,0.025,153.954,0.205,0.65,2
,,,,,,,,,,,
Come On Eileen,Dexys Midnight Runners,3MrWxJaD2AT0W9DjWF64Vm,0.45,0.656,0.527564717,0.0472,0.664,106.61,0.259,0.782,2
,,,,,,,,,,,
Magic In The Hamptons (feat. Lil Yachty),Social House,2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,0.664189837,0.0385,0.66,96.051,0.0914,0.803,2
,,,,,,,,,,,
Love It If We Made It,The 1975,6WmIyn2fx1PKQ0XDpYj4VR,0.472,0.745,0.667545542,0.0356,0.000607,180.06,0.0957,0.0631,2
,,,,,,,,,,,
Do You Realize??,The Flaming Lips,2DFRFqWNahKtFD112H2iEZ,0.464,0.797,0.671780121,0.0333,0.006,129.964,0.392,0.547,2
,,,,,,,,,,,
Love$ick (feat. A$AP Rocky),Mura Masa,3sTN90bIP2cJ1783ctHykO,0.625,0.763,0.691514861,0.129,0.147,88.753,0.214,0.721,2
,,,,,,,,,,,
Breathe Deeper - Lil Yachty Remix,Tame Impala,6GtOsEzNUhJghrIf6UTbRV,0.741,0.725,0.64189837,0.04,0.00715,104.985,0.115,0.577,2
,,,,,,,,,,,
Still into You,Paramore,1yjY7rpaAQvKwpdUliHx0d,0.602,0.923,0.790108661,0.044,0.0098,136.01,0.0561,0.765,2
,,,,,,,,,,,
All The Stars (with SZA),Kendrick Lamar,3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,0.695589645,0.0597,0.0605,96.924,0.0926,0.552,2
,,,,,,,,,,,
Loving Is Easy,Rex Orange County,5EYi2rH4LYs6M21ZLOyQTx,0.756,0.609,0.457414509,0.0544,0.217,117.023,0.096,0.537,2
,,,,,,,,,,,
YOU'RE THE ONE,KAYTRANADA,70kdJnm1X6eEM8DbWa8Mnc,0.824,0.396,0.318712049,0.332,0.0323,118.048,0.108,0.253,2
,,,,,,,,,,,
Weekend Friend,Goth Babe,2d3QlXE6FXFDeodiS66yjM,0.409,0.594,0.313758389,0.031,0.032,110.187,0.0904,0.212,2
,,,,,,,,,,,
Stay,Cheat Codes,7wGoRwE6MZnm9flIMKWPul,0.63,0.784,0.677293065,0.042,0.0385,92.001,0.231,0.451,2
,,,,,,,,,,,
Feel So Close - Radio Edit,Calvin Harris,1gihuPhrLraKYrJMAEONyc,0.707,0.924,0.863694471,0.031,0.000972,127.937,0.204,0.919,2
,,,,,,,,,,,
Lately,Forrest.,5awvelCGpDQHwgZem0ira9,0.718,0.632,0.770294024,0.145,0.213,160.039,0.283,0.859,2
,,,,,,,,,,,
Caroline,Aminé,5hTpBe8h35rJ67eAWHQsJx,0.94,0.335,0.277484819,0.505,0.17,120.04,0.262,0.707,2
,,,,,,,,,,,
Float On,Modest Mouse,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,0.70669543,0.0293,0.013,100.975,0.0888,0.553,2
,,,,,,,,,,,
Toothache,Topaz Jones,6plp1nJtm4Y3m87qmDCy61,0.809,0.743,0.76725791,0.109,0.12,122.062,0.122,0.83,2
,,,,,,,,,,,
Looking Out for You,Joy Again,3jfZ9M23l0L7RxzYMTgBTv,0.682,0.9,0.689038031,0.0874,0.0884,100.721,0.0685,0.937,2
,,,,,,,,,,,
damn Right,AUDREY NUNA,01ukVTKa6DhejzNulpoG2t,0.852,0.549,0.506711409,0.317,0.0988,162.027,0.122,0.666,2
,,,,,,,,,,,
Window,Still Woozy,3hARuUtzTdUuWH1KiLJlSf,0.714,0.483,0.341482902,0.195,0.436,91.025,0.28,0.67,2
,,,,,,,,,,,
You Can Call Me Al,Paul Simon,0qxYx4F3vm1AOnfux6dDxP,0.776,0.763,0.441674656,0.0534,0.182,128.433,0.077,0.82,2
,,,,,,,,,,,
Golden Skans,Klaxons,6BqWhxll86CGGE6WxgdRqG,0.463,0.836,0.868967721,0.0381,0.000418,141.955,0.25,0.713,2
,,,,,,,,,,,
waves - Tame Impala Remix,Miguel,3lB0GMiI5KxDbTOG8V3bOx,0.529,0.894,0.803211889,0.0412,0.308,108.024,0.254,0.543,2
,,,,,,,,,,,
Sunchyme - Radio Edit,Dario G,6Pazx4283O07HkrbONIRGc,0.674,0.912,0.438318952,0.0548,0.00483,132.973,0.318,0.455,2
,,,,,,,,,,,
Good Life,OneRepublic,6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,0.46724193,0.052,0.0771,94.988,0.132,0.645,2
,,,,,,,,,,,
Hate Me,Robert Grace,08rB2a7jEmObJSsq0e41tg,0.777,0.587,0.727788431,0.0459,0.386,138.01,0.485,0.815,2
,,,,,,,,,,,
Little Talks,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,0.677133269,0.032,0.0206,102.961,0.146,0.417,2
,,,,,,,,,,,
Tongue Tied,Grouplove,0GO8y8jQk1PkHzS31d699N,0.56,0.936,0.624560562,0.0439,0.00847,112.96,0.161,0.371,2
,,,,,,,,,,,
Sundress,A$AP Rocky,2aPTvyE09vUCRwVvj0I8WK,0.721,0.707,0.582294663,0.0595,0.181,125.005,0.143,0.743,2
,,,,,,,,,,,
MUST BE,Lou Phelps,0lO5zEKJ60lvz8X192p3WK,0.576,0.874,0.675535315,0.419,0.311,107.18,0.633,0.861,2
,,,,,,,,,,,
Ordinary Pleasure,Toro y Moi,5MhdCkaa1vj51vaFTc3qia,0.883,0.782,0.500559284,0.139,0.16,114.998,0.106,0.791,2
,,,,,,,,,,,
Crave You,Flight Facilities,2cEVcPslk7RwcqDpLA6Mhu,0.921,0.477,0.374720358,0.0828,0.109,120.044,0.0793,0.311,2
,,,,,,,,,,,
SMILE,Arden Jones,6eshn81GQPqBfv7TEOyoTI,0.649,0.562,0.520933205,0.141,0.474,168.067,0.122,0.702,2
